//Ignore=true
Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,WasBatched,DwmNotified,QPCTime
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0,0.21190000000000,16.52870000000000,0,Hardware Composed: Independent Flip,14.29250000000000,30.96920000000000,16.67400000000000,0,0,121391960186
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.0166266999985965,0.19530000000000,16.62670000000000,0,Hardware Composed: Independent Flip,14.33990000000000,31.03110000000000,16.68860000000000,0,0,121392126453
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.0338726999998471,0.23610000000000,17.24600000000000,0,Hardware Composed: Independent Flip,13.78260000000000,30.42980000000000,16.64470000000000,0,0,121392298913
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.0505696999989595,0.23970000000000,16.69700000000000,0,Hardware Composed: Independent Flip,13.73070000000000,30.51260000000000,16.77980000000000,0,0,121392465883
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.0669284999985393,0.59980000000000,16.35880000000000,0,Hardware Composed: Independent Flip,14.15080000000000,30.82220000000000,16.66840000000000,0,0,121392629471
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.0836339999987104,0.26020000000000,16.70550000000000,0,Hardware Composed: Independent Flip,14.11430000000000,30.72270000000000,16.60600000000000,0,0,121392796526
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.099827699999878,0.15910000000000,16.19370000000000,0,Hardware Composed: Independent Flip,14.52640000000000,31.28790000000000,16.75890000000000,0,0,121392958463
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.11693429999832,0.20690000000000,17.10660000000000,0,Hardware Composed: Independent Flip,14.17900000000000,30.81530000000000,16.63400000000000,0,0,121393129529
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.133105599999908,0.16880000000000,16.17130000000000,0,Hardware Composed: Independent Flip,14.64130000000000,31.30810000000000,16.66410000000000,0,0,121393291242
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.150172899999234,0.19550000000000,17.06730000000000,0,Hardware Composed: Independent Flip,14.23830000000000,30.94410000000000,16.70330000000000,0,0,121393461915
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.166135199999189,0.15160000000000,15.96230000000000,0,Hardware Composed: Independent Flip,14.97930000000000,31.68600000000000,16.70420000000000,0,0,121393621538
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.183337599999504,0.21420000000000,17.20240000000000,0,Hardware Composed: Independent Flip,14.48150000000000,31.10370000000000,16.62010000000000,0,0,121393793562
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.199700399998619,0.18060000000000,16.36280000000000,0,Hardware Composed: Independent Flip,14.73850000000000,31.40580000000000,16.66490000000000,0,0,121393957190
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.216735099998914,0.18730000000000,17.03470000000000,0,Hardware Composed: Independent Flip,14.36900000000000,31.06630000000000,16.69520000000000,0,0,121394127537
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.233123899999555,0.38920000000000,16.38880000000000,0,Hardware Composed: Independent Flip,14.67470000000000,31.33190000000000,16.65440000000000,0,0,121394291425
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.250079199999163,0.21310000000000,16.95530000000000,0,Hardware Composed: Independent Flip,14.37460000000000,31.11410000000000,16.73750000000000,0,0,121394460978
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.26633689999835,0.72000000000000,16.25770000000000,0,Hardware Composed: Independent Flip,14.85360000000000,31.47710000000000,16.62070000000000,0,0,121394623555
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.283932399999685,0.20980000000000,17.59550000000000,0,Hardware Composed: Independent Flip,13.87960000000000,30.61360000000000,16.73200000000000,0,0,121394799510
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.299891899998329,0.18900000000000,15.95950000000000,0,Hardware Composed: Independent Flip,14.65130000000000,31.28610000000000,16.63200000000000,0,0,121394959105
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.317419499999232,1.51420000000000,17.52760000000000,0,Hardware Composed: Independent Flip,13.75620000000000,30.45220000000000,16.69370000000000,0,0,121395134381
FIFA21.exe,10332,0x00000000C77C15B0,DXGI,1,0,0,0.333278099999006,0.46710000000000,15.85860000000000,0,Hardware Composed: Independent Flip,14.59100000000000,31.26050000000000,16.66690000000000,0,0,121395292967
